,id,name,cluster,host_id,host,host_alias,alias_id,listing_url,host_url,minimum_minimum_nights,license,ISD_status,ISD_address,neighborhood_overview,description,last_scraped
775,24940276,Bed and breakfast close to Downtown,36-1,188551199,Alina,,,https://www.airbnb.com/rooms/24940276,https://www.airbnb.com/users/show/188551199,1.0,Exemption: hotel/motel,?,,,"Comfortable and clean room with FREE hot breakfast and great location for commuting around Boston! Just 5 min walk to Andrew T Station/Red Line. It will take 10 mins to get to Downtown and 20 to Cambridge.<br />Free onsite parking is huge benefit! Free WiFi. This room is a part of hotel complex which has shuttle to/from airport FREE for my guests! You are welcome to use 24 hours gym and business center. Room is very close to South Bay Shopping Plaza with a lot of stores/restaurants (2 min).<br /><br /><b>The space</b><br />Free coffee/tea during the all day long.<br />Free cable TV with free HBO.<br />Extra bed available.<br />12 mins walk to the beach.<br /><br /><b>Guest access</b><br />Just 2 minutes walk to South Bay Plaza: Stop& Shop, Best Buy, Target, Starbucks, AMC movie theatre, restaurants ( Olive Garden, Panera Bread, Apple Bee's<br /><br /><b>Other things to note</b><br />Non smoking<br />No suitable for pets<br /><br /><b>License number</b><br />Exempt: This listing is a ho",2020-09-01
776,24940322,Room up to 5 guests with FREE Breakfast,36-1,188551199,Alina,,,https://www.airbnb.com/rooms/24940322,https://www.airbnb.com/users/show/188551199,1.0,Exemption: hotel/motel,?,,,"Enjoy comfortable room with great location. 5 minutes walk to Andrew T Station/Red Line and it will take 10 mins to get to Downtown Boston. 2 minutes walk from South Bay Shopping Plaza with a lot of restaurants and stores and AMC movie theatre.<br />Free hot buffet breakfast (and very delicious cinnamon rolls :) <br />This room is a part of hotel complex which has shuttle to/from airport FREE for my guests. You are welcome to use 24 hours gym and business center.<br />Free onsite parking! Free WiFi.<br /><br /><b>The space</b><br />Free coffee/tea during the all day long.<br />Extra bed/Air mattress available.<br />Free cable TV with free HBO.<br />12 mins walk to the beach.<br /><br /><b>Guest access</b><br />Just 2 minutes walk to South Bay Plaza: Stop& Shop, Best Buy, Target, Starbucks, AMC movie theatre, restaurants ( Olive Garden, Panera Bread, Apple Bee's<br /><br /><b>Other things to note</b><br />Non smoking<br />Pets are not allowed<br /><br /><b>License number</b><br />Exempt",2020-09-01
777,24940375,Room with FREE breakfast and parking,36-1,188551199,Alina,,,https://www.airbnb.com/rooms/24940375,https://www.airbnb.com/users/show/188551199,1.0,Exemption: hotel/motel,?,,,"Enjoy my comfortable and clean room with 2 beds, free hot breakfast, free WiFi and free parking. Great location for commuting around Boston/Cambridge! A 5 min walk to Andrew/Red Line/ and it will take 10 mins to get to Downtown and 20 to Harvard.  <br />Room is very close (2 min) to South Bay Shopping Plaza with a lot of restaurants and stores. <br />This room is a part of hotel complex and you are welcome to use 24 hours gym and business center. Free shuttle to/from airport for all my guests.<br /><br /><b>The space</b><br />Free coffee/tea during the all day long.<br />Free cable TV with free HBO.<br />Extra bed/Air mattress available.<br />12 mins walk to the beach.<br /><br /><b>Guest access</b><br />Just 2 minutes walk to South Bay Plaza: Stop& Shop, Best Buy, Target, Starbucks, AMC movie theatre, restaurants ( Olive Garden, Panera Bread, Apple Bee's)<br /><br /><b>Other things to note</b><br />Very good for family/ friends. <br />Non-smoking <br />No suitable for pets<br /><br />",2020-09-01
778,24940413,Room with FREE breakfast close to Downtown Boston,36-1,188551199,Alina,,,https://www.airbnb.com/rooms/24940413,https://www.airbnb.com/users/show/188551199,1.0,Exemption: hotel/motel,?,,,"Enjoy comfy studio with a great location. Easy commuting around Boston/Cambridge! A 5 min walk to Red Line/Andrew and it will take 10 mins to get to Downtown and 20 to Harvard. <br />This room is a part of hotel complex and you are welcome to use 24 hours gym and business center. Free shuttle to/from airport for all my guests.<br />Free hot breakfast (and very delicious cinnamon rolls:) Free WiFi. Free parking.<br />Room is very close (2 min) to South Bay Shopping Plaza with a lot of restaurants and stores.<br /><br /><b>The space</b><br />Free coffee/tea during the all day long.<br />Free cable TV with free HBO.<br />Extra bed/Air mattress available.<br />12 mins walk to the beach.<br /><br /><b>Guest access</b><br />Just 2 minutes walk to South Bay Plaza: Stop& Shop, Best Buy, Target, Starbucks, AMC movie theatre, restaurants ( Olive Garden, Panera Bread, Apple Bee's<br /><br /><b>Other things to note</b><br />Non smoking<br />Not suitable for pets<br /><br /><b>License number</b><br",2020-09-01
779,24940427,2 spacious rooms with FREE breakfast and parking,36-1,188551199,Alina,,,https://www.airbnb.com/rooms/24940427,https://www.airbnb.com/users/show/188551199,1.0,Exemption: hotel/motel,?,,,"Clean and comfortable hotel room with a great location for commuting around Boston! A 5 min walk to Red Line/Andrew and it will take 10 mins to get to Downtown Boston and 20 to Harvard. <br />FREE parking. Free hot breakfast. Free WiFi.<br />DUE TO NEW REGULATIONS IN THE LIGHT OF COVID-19 WE CURRENTLY SERVE GRAB&GO BREAKFAST ANS SOME AMENITIES MIGHT NOT OPERATE. TEXT FOR DETAILS.<br /><br /><b>The space</b><br />Suites consist of a living room with a pull out sofa and a small kitchenette and a bedroom with a separate door with a king-size bed, and a bathroom. <br />Free cable TV with free HBO.<br />Extra bed/free cribs/infant beds available on request.<br /><br />This room is a part of the hotel complex and you are welcome to use 24 hours gym and business center. Free shuttle from airport, Cruise, Convention. <br />South Bay Shopping Plaza with lots of stores, restaurants, and AMC movie cinema is just 2 minutes walk.<br />12 mins walk to the beach.<br /><br /><b>Guest access</b><br />G",2020-09-01
834,27104136,Brand new room with FREE breakfast and parking,36-1,188551199,Alina,,,https://www.airbnb.com/rooms/27104136,https://www.airbnb.com/users/show/188551199,1.0,Exemption: hotel/motel,?,,,"Enjoy this spacious brand new hotel room with a great location! Easy commuting around Boston! A 5 min walk to Red Line/Andrew and it will take 10 mins to get to Downtown. <br />FREE hot breakfast. FREE parking.  shuttle to/from airport Cruise Terminal, Convention Center. <br />Perfect for families, friends, and business travelers. <br />DUE TO NEW REGULATIONS IN THE LIGHT OF COVID-19 WE CURRENTLY SERVE GRAB&GO BREAKFAST ANS SOME AMENITIES MIGHT NOT OPERATE. TEXT FOR DETAILS.<br /><br /><b>The space</b><br />There are two queen beds and a pull-out sofa. Up to 6 people.<br />Free cable TV with free HBO.<br />Extra bed/Air mattress available.<br />This room is a part of the hotel complex and you are welcome to use 24 hours gym and business center. Free shuttle from airport, Cruise, Convention. <br />2 mins walk to the beach.<br />South Bay Shopping Plaza with lots of stores, restaurants, and AMC movie cinema is just 2 minutes walk.<br /><br /><b>Guest access</b><br />Gym, business center<",2020-09-01
835,27128200,Deluxe room with a GREAT location & FREE breakfast,36-1,188551199,Alina,,,https://www.airbnb.com/rooms/27128200,https://www.airbnb.com/users/show/188551199,1.0,Exemption: hotel/motel,?,,,"A brand new deluxe hotel room with perfect subway access and great location for commuting around Boston!  Steps away from South Bay Plaza with a lot of stores and restaurants. <br />FREE hot breakfast, WIFI, FREE parking, FREE shuttle to the airport!<br />DUE TO NEW REGULATIONS IN THE LIGHT OF COVID-19 WE CURRENTLY SERVE GRAB&GO BREAKFAST ANS SOME AMENITIES MIGHT NOT OPERATE. TEXT FOR DETAILS.<br /><br /><b>The space</b><br />There are two queen beds and a pull-out sofa. Up to 4 people.<br />Free cable TV with free HBO.<br />Extra bed/Air mattress available.<br />This room is a part of the hotel complex and you are welcome to use 24 hours gym and business center. Free shuttle from airport, Cruise, Convention. <br />2 mins walk to the beach.<br />South Bay Shopping Plaza with lots of stores, restaurants, and AMC movie cinema is just 2 minutes walk.<br /><br /><b>Guest access</b><br />Gym, business center<br /><br /><b>Other things to note</b><br />Non-smoking<br />Not suitable for pets<",2020-09-01
