,id,name,cluster,host_id,host,host_alias,alias_id,listing_url,host_url,minimum_minimum_nights,license,ISD_status,ISD_address,neighborhood_overview,description,last_scraped
647,22824659,Modern Furnished 2BR Apt Close to Longwood Medical,76-5,CorpGroup30,Jen,Jen,163251048.0,https://www.airbnb.com/rooms/22824659,https://www.airbnb.com/users/show/163251048,28.0,Missing,?,,"Major Attractions:<br />• Fenway Park – 0.3 mi<br />• Museum of Fine Arts, Boston – 0.5 mi<br />• Massachusetts Institute of Technology – 1.2 mi<br />• Harvard University – 2 mi<br />• Faneuil Hall Marketplace – 2.8 mi<br /><br />Restaurants:<br />• Starbucks – 40 ft.<br />• Sweet Cheeks Q – 167 ft.<br />• Yard House – 0.1 mi<br />• Island Creek Oyster Bar – 0.5 mi<br /><br />Dry Cleaners:<br />• Lapel’s Dry Cleaning – 20 ft.<br /><br />Pharmacy:<br />• CVS Pharmacy – 365 ft.<br /><br />Hospital:<br />• Mass General Hospital Back Bay – 0.7 mi","Located in the heart of Fenway, this luxury high-rise features designer apartments with a wide range of amenities and easy access to downtown Boston, Cambridge and the neighboring Black Bay. <br />Servicing Boston hospital patients including Boston Children’s Hospital.<br /><br /><b>The space</b><br />2 Bed, 2 Bath, Sleeps 5<br /><br />These newly constructed, luxury apartments epitomize what it means to live well in one of Boston’s most eclectic and vibrant communities. An established neighborhood standout, the building’s apartments offer floor to ceiling windows with one of the most beautiful views of the Boston skyline. No matter what your preference, you’re within minutes of it all - Back Bay’s trendy shopping centers, Fenway’s endless entertainment, the best restaurants in Boston, and easy access to the Fenway T. The ease that comes with our 24 hour check in and concierge service, parking garage, as well as unparalleled on-site amenities makes this the only place to stay on your n",2020-08-31
650,22879028,Ultra Lux Fenway Medical 2BR Apt - Prime Location!,76-4,CorpGroup30,Jen,Jen,163251048.0,https://www.airbnb.com/rooms/22879028,https://www.airbnb.com/users/show/163251048,28.0,Exemption: hospital contracts,?,,"Major Attractions:<br />• Fenway Park – 0.3 mi<br />• Museum of Fine Arts, Boston – 0.5 mi<br />• Massachusetts Institute of Technology – 1.2 mi<br />• Harvard University – 2 mi<br />• Faneuil Hall Marketplace – 2.8 mi<br /><br />Restaurants:<br />• Starbucks – 40 ft.<br />• Sweet Cheeks Q – 167 ft.<br />• Yard House – 0.1 mi<br />• Island Creek Oyster Bar – 0.5 mi<br /><br />Dry Cleaners:<br />• Lapel’s Dry Cleaning – 20 ft.<br /><br />Pharmacy:<br />• CVS Pharmacy – 365 ft.<br /><br />Hospital:<br />• Mass General Hospital Back Bay – 0.7 mi","Located in the heart of Fenway, this luxury high-rise features designer apartments with a wide range of amenities and easy access to downtown Boston, Cambridge and the neighboring Black Bay. <br />Servicing Boston hospital patients including Boston Children’s Hospital.<br /><br /><b>The space</b><br />2 Bed, 2 Bath, Sleeps 5<br /><br />These newly constructed, luxury apartments epitomize what it means to live well in one of Boston’s most eclectic and vibrant communities. An established neighborhood standout, the building’s apartments offer floor to ceiling windows with one of the most beautiful views of the Boston skyline. No matter what your preference, you’re within minutes of it all - Back Bay’s trendy shopping centers, Fenway’s endless entertainment, the best restaurants in Boston, and easy access to the Fenway T. The ease that comes with our 24 hour check in and concierge service, parking garage, as well as unparalleled on-site amenities makes this the only place to stay on your n",2020-08-31
653,22938098,Lux Furnished Medical 2BR Apt In Heart of Fenway!,76-3,CorpGroup30,Jen,Jen,163251048.0,https://www.airbnb.com/rooms/22938098,https://www.airbnb.com/users/show/163251048,28.0,Exemption: hospital contracts,?,,"Major Attractions:<br />• Fenway Park – 0.3 mi<br />• Museum of Fine Arts, Boston – 0.5 mi<br />• Massachusetts Institute of Technology – 1.2 mi<br />• Harvard University – 2 mi<br />• Faneuil Hall Marketplace – 2.8 mi<br /><br />Restaurants:<br />• Starbucks – 40 ft.<br />• Sweet Cheeks Q – 167 ft.<br />• Yard House – 0.1 mi<br />• Island Creek Oyster Bar – 0.5 mi<br /><br />Dry Cleaners:<br />• Lapel’s Dry Cleaning – 20 ft.<br /><br />Pharmacy:<br />• CVS Pharmacy – 365 ft.<br /><br />Hospital:<br />• Mass General Hospital Back Bay – 0.7 mi","Located in the heart of Fenway, this luxury high-rise features designer apartments with a wide range of amenities and easy access to downtown Boston, Cambridge and the neighboring Black Bay. <br />Servicing Boston hospital patients including Boston Children’s Hospital.<br /><br /><b>The space</b><br />2 Bed, 2 Bath, Sleeps 5<br /><br />These newly constructed, luxury apartments epitomize what it means to live well in one of Boston’s most eclectic and vibrant communities. An established neighborhood standout, the building’s apartments offer floor to ceiling windows with one of the most beautiful views of the Boston skyline. No matter what your preference, you’re within minutes of it all - Back Bay’s trendy shopping centers, Fenway’s endless entertainment, the best restaurants in Boston, and easy access to the Fenway T. The ease that comes with our 24 hour check in and concierge service, parking garage, as well as unparalleled on-site amenities makes this the only place to stay on your n",2020-08-31
759,24626252,Magnificent Medical 3BR Apt at Boston,76-7,CorpGroup30,Jen,Jen,163251048.0,https://www.airbnb.com/rooms/24626252,https://www.airbnb.com/users/show/163251048,3.0,Exemption: hospital contracts,?,,,"This apt is Located in Boston's Beacon Hill neighborhood near the West End neighborhood, amidst several dining and entertaining.<br />Our apartments are complete with a fully equipped kitchen, linens, towels, housewares and more.<br />Servicing Boston hospital patients including Boston Children’s Hospital.<br /><br /><b>The space</b><br />3 Bed, 3 Bath, Sleeps 7<br /><br />Located in Boston's Beacon Hill neighborhood near the West End neighborhood, one of the most desirable areas of the city to call home. When you live here, you're within walking distance to Beacon Hill and the North End, full of local restaurants, bars and plenty of history. The historic West End is a very walkable neighborhood, and being so close to all lines of the T certainly doesn't hurt! Whether you're walking to the new indoor farmers market, the neighborhood Whole Foods, or to the T for your daily commute, you won't need to rely on your car - a blessing during wintertime! Come see what the West End has to offer",2020-08-31
767,24770058,Ultra Modern Furnished West End Medical 2-BR Apt,76-2,CorpGroup30,Jen,Jen,163251048.0,https://www.airbnb.com/rooms/24770058,https://www.airbnb.com/users/show/163251048,3.0,Exemption: hospital contracts,?,,"Major Attractions:<br /><br />•Restaurants - Dean’s List Restaurant Bar & Grill (.2 mi), Antonio’s Cucina Italiano (.8 mi), Clink Restaurant (.2 mi)<br />•SJR Foods (1 min) for groceries, CVS Pharmacy (.4 mi)<br />•The Shops at Prudential Center – 2.9 mi<br />•House of Blues – 2.8 mi<br />•Museum of Fine Arts – 3.1 mi<br />•Prudential Skywalk – highest observation deck in New England -2.9 mi<br />•Historical Freedom Trail walking tour – 1.7 mi<br />•Faneuil Hall – 1.7 mi<br />•Fenway Park – 2.7 mi<br />•Boston University (2.5 mi),  Northeastern University (3 mi), and Harvard (3.9 mi)-<br />•Boston Children’s Hospital – 2.7 mi","With so much to do on the premises, this apartment gives you the option to never leave your private abode. These brand new, beautiful apartment homes offer guests a fully-equipped kitchen, living area, and a spacious bedroom. The community boasts with its exclusive onsite amenities including, a basketball and tennis courts, a movie theater, 24 hour concierge and so much more!<br />Servicing Boston hospital patients including Boston Children’s Hospital.<br /><br /><b>The space</b><br />2 Bed, 2 Bath, Sleeps 5<br /><br />The building is located in the center of all of Boston’s most renowned attractions. Just minutes from the Charles River and the Esplanade, Beacon Hill and Boston Common, the North End and the Waterfront, these brand new luxury apartments put you directly in the heart of Boston’s best. For those of you who prefer to stay closer to home, this exclusive community boasts a variety of on-site amenities like basketball and tennis courts, a movie theater, bike & fitness trails,",2020-08-31
774,24935629,Luxury Medical 2BR with designer finishes,76-6,CorpGroup30,Jen,Jen,163251048.0,https://www.airbnb.com/rooms/24935629,https://www.airbnb.com/users/show/163251048,2.0,Exemption: hospital contracts,?,,Major Attractions:<br />•	TD Garden – 0.2 mi<br />o	Home to the NBA Boston Celtics and the NHL Boston Bruins <br />•	Christopher Columbus Waterfront Park – 0.6 mi<br />•	New England Aquarium – 0.9 mi <br />•	Dreamland Wax Museum – 0.5 mi <br />•	Museum of Science – 0.7 mi <br />•	USS Constitution Museum – 1.1 mi <br />•	Faneuil Hall Marketplace- 0.5 mi <br /><br />Restaurants:<br />•	Boston Common Coffee Shop – On-site <br />•	The Harp- 0.1 mi <br />•	Porters Bar and Grill- 0.2 mi <br />•	The Four's- 33 ft.<br />•	Tavern in the Square North Station – 413 ft. <br />•	Boston Beer Works – 233 ft. <br />•	Massimino’s Cucina Italiana – 0.2 mi <br />•	Union Oyster House – 0.4 mi<br />•	Seoul Restaurant – 0.4 mi<br /><br />Grocery Store:<br />•	Whole Foods – 0.5 mi <br /><br />Dry Cleaners:<br />•	Valet Dry Cleaning Service Available-  On-site<br />Pharmacy:<br />•	CVS Pharmacy- On-site<br /><br />Hospital:<br />•	Massachusetts General Hospital – 0.6 mi <br />•	Shriners Hospitals For Children,"Enjoy this modern residence with picturesque city views near TD Gardens and the Boston Harbor. Upscale amenities throughout include, fully equipped gourmet kitchens, open floor plans, floor-to-ceiling windows and much more.<br />Servicing Boston hospital patients including Boston Children’s Hospital.<br /><br /><b>The space</b><br />2 Bed, 2 Bath, Sleeps 5<br /><br />Experience Luxury living in the Boston’s Bulfinch Triangle Historic District, a revitalized neighborhood in Boston's West End that houses plenty of transit stops, local restaurants, shops and nightlife options. Major attractions include the Christopher Columbus Waterfront Park, Museum of Science, The Faneuil Hall Marketplace, the magnificent Trinity Church, and Fenway Park.  These premium residences will provide you with an uplifting and comfortable experience. With a modern design throughout, this mid-rise has cutting-edge finishes and amenities throughout including: fully equipped kitchens with stainless steel Bosch appl",2020-08-31
785,25158106,Magnificent Furnished Medical 2BR Apt at ChinaTown,76-1,CorpGroup30,Jen,Jen,163251048.0,https://www.airbnb.com/rooms/25158106,https://www.airbnb.com/users/show/163251048,2.0,Exemption: hospital contracts,?,,,"These apartments are located a few steps away from the best entertainment and dining venues of the city, right at the intersection of the Theatre District, the Leather District and Chinatown.<br />Servicing Boston hospital patients including Boston Children’s Hospital.<br /><br /><b>The space</b><br />2 Bed, 2 Bath, Sleeps 5<br /><br />Unit Amenities Include:<br /><br />- Fully-Equipped Kitchen<br />- Spacious Layout<br />- High Ceilings<br />- Centrally Located<br />- Luxury Building<br />- Newly Renovated Units<br />- Business Center<br />- Health Club<br /><br />Building Amenities Include:<br /><br />- Business Center<br />- Health Club<br />- Luxury Building<br />- Centrally Located<br /><br /><b>License number</b><br />Exempt: This listing is a unit that has contracts with hospitals",2020-08-31
788,25338990,Magnificent Medical 1BR Apt in Center of Boston!,76-1,CorpGroup30,Jen,Jen,163251048.0,https://www.airbnb.com/rooms/25338990,https://www.airbnb.com/users/show/163251048,3.0,Exemption: hospital contracts,?,,,"These apartments are located a few steps away from the best entertainment and dining venues of the city, right at the intersection of the Theatre District, the Leather District and Chinatown.<br />Servicing Boston hospital patients including Boston Children’s Hospital.<br /><br /><b>The space</b><br />1 Bed, 1 Bath, Sleeps 3<br /><br />Luxury and Central both perfectly define these upscale apartments in this newly renovated building. Located steps to shopping, dining, and workplaces right at the intersection of the Theatre District, the Leather District and Chinatown you will be in the most prime location you are looking for.  Enjoy the magnificent amenities such as a roof deck, newly renovated residential lobby space, bike storage room, business center, health club and more. Each apartment has a fully-equipped kitchen with spacious layouts and high ceilings all for you to enjoy!<br /><br />Unit Amenities Include:<br /><br />- Fully-Equipped Kitchen<br />- Spacious Layout<br />- High C",2020-08-31
792,25476090,Posh Medical 2 Bedroom Apt In Center of Boston!,76-1,CorpGroup30,Jen,Jen,163251048.0,https://www.airbnb.com/rooms/25476090,https://www.airbnb.com/users/show/163251048,3.0,Exemption: hospital contracts,?,,,"These apartments are located steps from the best entertainment and dining venues of the city, right at the intersection of the Theatre District, the Leather District and Chinatown.<br />Servicing Boston hospital patients including Boston Children’s Hospital.<br /><br /><b>The space</b><br />2 Bed, 2 Bath, Sleeps 5<br /><br />Luxury and Central both perfectly define these upscale apartments in this newly renovated building. Located steps to shopping, dining, and workplaces right at the intersection of the Theatre District, the Leather District and Chinatown you will be in the most prime location you are looking for.  Enjoy the magnificent amenities such as a roof deck, newly renovated residential lobby space, bike storage room, business center, health club and more. Each apartment has a fully-equipped kitchen with spacious layouts and high ceilings all for you to enjoy!<br /><br />Unit Amenities Include:<br /><br />- Fully-Equipped Kitchen<br />- Spacious Layout<br />- High Ceilings<br ",2020-08-31
936,29875648,Opulent Medical 2BR Boston Apt Near Charles River!,76-2,CorpGroup30,Jen,Jen,163251048.0,https://www.airbnb.com/rooms/29875648,https://www.airbnb.com/users/show/163251048,3.0,Exemption: hospital contracts,?,,"Major Attractions:<br /><br />•Restaurants - Dean’s List Restaurant Bar & Grill (.2 mi), Antonio’s Cucina Italiano (.8 mi), Clink Restaurant (.2 mi)<br />•SJR Foods (1 min) for groceries, CVS Pharmacy (.4 mi)<br />•The Shops at Prudential Center – 2.9 mi<br />•House of Blues – 2.8 mi<br />•Museum of Fine Arts – 3.1 mi<br />•Prudential Skywalk – highest observation deck in New England -2.9 mi<br />•Historical Freedom Trail walking tour – 1.7 mi<br />•Faneuil Hall – 1.7 mi<br />•Fenway Park – 2.7 mi<br />•Boston University (2.5 mi),  Northeastern University (3 mi), and Harvard (3.9 mi)<br />•Boston Children’s Hospital – 2.7 mi","With so much to do on the premises, this apartment gives you the option to never leave your private abode. These brand new, beautiful apartment homes offer guests a fully-equipped kitchen, living area, and a spacious bedroom. The community boasts with its exclusive onsite amenities including, a basketball and tennis courts, a movie theater, 24 hour concierge and so much more!<br />Servicing Boston hospital patients including Boston Children’s Hospital.<br /><br /><b>The space</b><br />2 Bed, 2 Bath, Sleeps 5<br /><br />The building is located in the center of all of Boston’s most renowned attractions. Just minutes from the Charles River and the Esplanade, Beacon Hill and Boston Common, the North End and the Waterfront, these brand new luxury apartments put you directly in the heart of Boston’s best. For those of you who prefer to stay closer to home, this exclusive community boasts a variety of on-site amenities like basketball and tennis courts, a movie theater, bike & fitness trails,",2020-08-31
980,31120403,Ultra Lux Medical 1 BR Apt in Heart of Fenway!,76-5,CorpGroup30,Jen,Jen,163251048.0,https://www.airbnb.com/rooms/31120403,https://www.airbnb.com/users/show/163251048,28.0,Exemption: hospital contracts,?,,"Major Attractions:<br />• Fenway Park – 0.3 mi<br />• Museum of Fine Arts, Boston – 0.5 mi<br />• Massachusetts Institute of Technology – 1.2 mi<br />• Harvard University – 2 mi<br />• Faneuil Hall Marketplace – 2.8 mi<br /><br />Restaurants:<br />• Starbucks – 40 ft.<br />• Sweet Cheeks Q – 167 ft.<br />• Yard House – 0.1 mi<br />• Island Creek Oyster Bar – 0.5 mi<br /><br />Dry Cleaners:<br />• Lapel’s Dry Cleaning – 20 ft.<br /><br />Pharmacy:<br />• CVS Pharmacy – 365 ft.<br /><br />Hospital:<br />• Mass General Hospital Back Bay – 0.7 mi","Located in the heart of Fenway, this luxury high-rise features designer apartments with a wide range of amenities and easy access to downtown Boston, Cambridge and the neighboring Black Bay. These gorgeous homes with wonderful Boston views offer floor-to-ceiling windows, beautiful hardwood floors, and modern kitchens along with other on-site amenities like a fitness center, courtyard, game room, lounge, and concierge<br />Servicing Boston hospital patients including Boston Children’s Hospital.<br /><br /><b>The space</b><br />1 Bed, 1 Bath, Sleeps 3<br /><br />These newly constructed, luxury apartments epitomize what it means to live well in one of Boston’s most eclectic and vibrant communities. An established neighborhood standout, the building’s apartments offer floor to ceiling windows with one of the most beautiful views of the Boston skyline. No matter what your preference, you’re within minutes of it all - Back Bay’s trendy shopping centers, Fenway’s endless entertainment, the be",2020-08-31
1123,34279736,Lavish Boston Studio Apt Near Prudential Center!,76-1,CorpGroup30,Jen,Jen,163251048.0,https://www.airbnb.com/rooms/34279736,https://www.airbnb.com/users/show/163251048,3.0,Exemption: hospital contracts,?,,,"These apartments are located steps from the best entertainment and dining venues of the city, right at the intersection of the Theatre District, the Leather District and Chinatown.<br /><br /><b>The space</b><br />Studio, 1 bath, sleeps 2.<br /><br />Luxury and Central both perfectly define these upscale apartments in this newly renovated building. Located steps to shopping, dining, and workplaces right at the intersection of the Theatre District, the Leather District and Chinatown you will be in the most prime location you are looking for.  Enjoy the magnificent amenities such as a roof deck, newly renovated residential lobby space, bike storage room, business center, health club and more. Each apartment has a fully-equipped kitchen with spacious layouts and high ceilings all for you to enjoy!<br /><br />Unit Amenities Include:<br /><br />- Fully-Equipped Kitchen<br />- Spacious Layout<br />- High Ceilings<br />- Centrally Located<br />- Luxury Building<br />- Newly Renovated Units<br",2020-08-31
