id,listing_url,name,host_id,host_url,host,neighbourhood,neighbourhood_cleansed,last_scraped,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,license,instant_bookable,host_alias,alias_id,status,ISD_status,ISD_address,ISD_category,license_listing_count,license_cat_max_exceed,simple_status,full_status,other_hosts,temp_class,cluster,centroid_group_distance,sub_centroid,sub_centroid_distance,color,high_confidence
18159981,https://www.airbnb.com/rooms/18159981,Sunny Boston Apartment,30732884,https://www.airbnb.com/users/show/30732884,Jeffery,"Boston, Massachusetts, United States",Dorchester,2020-09-01,,42.28889,-71.06569,Entire apartment,Entire home/apt,4,2.0,2.0,195.0,32,1125,32.0,t,30,60,90,364,73,Missing,f,,,No license claimed,,,,,,No license claimed,No license claimed,,-1.0,,,,,#FF9800,
26453232,https://www.airbnb.com/rooms/26453232,Modern Parkside Smart Home,30732884,https://www.airbnb.com/users/show/30732884,Jeffery,"Boston, Massachusetts, United States",Dorchester,2020-09-01,,42.29078,-71.06551,Entire condominium,Entire home/apt,4,2.0,2.0,195.0,32,1125,32.0,t,30,60,90,364,4,Missing,t,,,No license claimed,,,,,,No license claimed,No license claimed,,-1.0,,,,,#FF9800,
41992786,https://www.airbnb.com/rooms/41992786,Home Sweet Home,30732884,https://www.airbnb.com/users/show/30732884,Jeffery,,Dorchester,2020-09-01,,42.29096,-71.0676,Entire apartment,Entire home/apt,3,3.0,3.0,190.0,32,365,32.0,t,30,60,90,179,0,Missing,t,,,No license claimed,,,,,,No license claimed,No license claimed,,-1.0,,,,,#FF9800,
