,id,name,cluster,host_id,host,host_alias,alias_id,listing_url,host_url,minimum_minimum_nights,license,ISD_status,ISD_address,neighborhood_overview,description,last_scraped
332,13942753,Master Bedroom w/ private bathroom near Longwood S,185-1,82946167,Yuan,,,https://www.airbnb.com/rooms/13942753,https://www.airbnb.com/users/show/82946167,14.0,Missing,?,,,"My place is close to Longwood Medical Area, Harvard Medical School, Isabella Stewart Gardner Museum, Museum of Fine Arts, Fenway, Boston. You’ll love my place because of Right near D line Longwood T stop in quiet and safe neighborhood.. My place is good for couples and solo adventurers.",2020-09-01
489,18804297,Private Room  &  Bathroom nr Longwood Medical Area,185-1,82946167,Yuan,,,https://www.airbnb.com/rooms/18804297,https://www.airbnb.com/users/show/82946167,14.0,Missing,?,,,"Look for guests who like to stay at least few days. Rate might be negotiable if you can stay for calendar month. Can do month by month. Please feel free to put an inquiry or request so we can accommodate it. <br /><br />My place is close to Longwood Medical Area, Harvard Medical School, Isabella Stewart Gardner Museum, Museum of Fine Arts, Fenway, Boston. You’ll love my place because of Right near D line Longwood T stop in quiet and safe neighborhood.. My place is good for couples and solo adventurers.<br /><br /><b>The space</b><br />Share kitchen with other housemate.<br /><br /><b>Guest access</b><br />There is laundry on site.",2020-09-01
531,19387210,5 Star location in Harvard square S,185-2,82946167,Yuan,,,https://www.airbnb.com/rooms/19387210,https://www.airbnb.com/users/show/82946167,30.0,Missing,?,,,"Private room in Harvard Square. Furnished room with twin size bed and desk and chairs. Comfortable garden level. Rent reduced for guest who can stay at least couple days. Right in Harvard Square to Harvard, stores, banks and everything Harvard Square could offer. Don't miss it. Share the space with two other housemates.",2020-09-01
