,id,name,cluster,host_id,host,host_alias,alias_id,listing_url,host_url,minimum_minimum_nights,license,ISD_status,ISD_address,neighborhood_overview,description,last_scraped
1040,32546785,Quiet getaway in a Boston home,153-1,81492503,Mark,,,https://www.airbnb.com/rooms/32546785,https://www.airbnb.com/users/show/81492503,91.0,Missing,?,,A suburban feel in the city,"Quiet 3 bedroom house with a full kitchen, dining room, living room, dedicated office, and finished basement (with a washer and dryer) in West Roxbury.  I will be in the master bedroom, but guests can book the other 2 bedrooms.",2020-08-31
1150,35405830,Quiet Room in Boston,153-1,81492503,Mark,,,https://www.airbnb.com/rooms/35405830,https://www.airbnb.com/users/show/81492503,91.0,Missing,?,,,Quiet Getaway in Bosotn,2020-09-01
1151,35407404,Quiet Room in Boston #2,153-2,81492503,Mark,,,https://www.airbnb.com/rooms/35407404,https://www.airbnb.com/users/show/81492503,91.0,Missing,?,,,Quiet Getaway in Bosotn,2020-09-01
