id,listing_url,name,host_id,host_url,host,neighbourhood,neighbourhood_cleansed,last_scraped,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,license,instant_bookable,host_alias,alias_id,status,ISD_status,ISD_address,ISD_category,license_listing_count,license_cat_max_exceed,simple_status,full_status,other_hosts,temp_class,cluster,centroid_group_distance,sub_centroid,sub_centroid_distance,color,high_confidence
15173160,https://www.airbnb.com/rooms/15173160,Generous Brownstone on Commonwealth|3BR 1BA #3,CorpGroup4,https://www.airbnb.com/users/show/814298,STR Boston,"Boston, Massachusetts, United States",Back Bay,2020-08-31,,42.34874,-71.09068,Entire apartment,Entire home/apt,6,3.0,3.0,172.0,29,365,29.0,t,0,0,0,1,78,Missing,f,Thatch,814298.0,No license claimed,,,,,,No license claimed,No license claimed,,1.0,3-5,353.95959951771766,,,#FF9800,
15173640,https://www.airbnb.com/rooms/15173640,Calm & Cool|Historic Back Bay Studio Spot,CorpGroup4,https://www.airbnb.com/users/show/814298,STR Boston,"Boston, Massachusetts, United States",Back Bay,2020-08-31,,42.34976,-71.09073000000002,Entire apartment,Entire home/apt,4,1.0,1.0,140.0,28,1124,28.0,t,0,0,1,152,50,Missing,f,Thatch,814298.0,No license claimed,,,,,,No license claimed,No license claimed,,1.0,3-5,25.97721075422864,,,#FF9800,
15174147,https://www.airbnb.com/rooms/15174147,On Comm. Mall|Historic Back Bay Brownstone|Studio,CorpGroup4,https://www.airbnb.com/users/show/814298,STR Boston,"Boston, Massachusetts, United States",Back Bay,2020-08-31,,42.35007,-71.0908,Entire apartment,Entire home/apt,4,1.0,1.0,140.0,28,1124,28.0,t,1,1,2,154,52,Missing,f,Thatch,814298.0,No license claimed,,,,,,No license claimed,No license claimed,,1.0,3-5,132.1149517623894,,,#FF9800,
15174895,https://www.airbnb.com/rooms/15174895,Garden Level on Comm|Architectural Beauty|1BR 1BA,CorpGroup4,https://www.airbnb.com/users/show/814298,STR Boston,"Boston, Massachusetts, United States",Back Bay,2020-08-31,,42.35026,-71.09097,Entire apartment,Entire home/apt,4,1.0,1.0,146.0,28,1124,28.0,t,2,32,34,185,49,Missing,f,Thatch,814298.0,No license claimed,,,,,,No license claimed,No license claimed,,1.0,3-5,206.83356536401402,,,#FF9800,
