id,listing_url,name,host_id,host_url,host,neighbourhood,neighbourhood_cleansed,last_scraped,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,license,instant_bookable,host_alias,alias_id,status,ISD_status,ISD_address,ISD_category,license_listing_count,license_cat_max_exceed,simple_status,full_status,other_hosts,temp_class,cluster,centroid_group_distance,sub_centroid,sub_centroid_distance,color,high_confidence
13686161,https://www.airbnb.com/rooms/13686161,Sonder | Winthrop Square | Warm 1BR,CorpGroup5,https://www.airbnb.com/users/show/12243051,Sonder,"Boston, Massachusetts, United States",Downtown,2020-08-31,,42.35548,-71.05809,Entire apartment,Entire home/apt,3,1.0,2.0,156.0,30,1124,30.0,t,25,28,28,302,46,974333,t,Sonder,12243051.0,Not found (fabricated),Not found (fabricated),,Owner-Adjacent Unit,21.0,,Not found (fabricated),Not found (fabricated),,0.0,5-1,257.37433576791943,5-1-0,72.83304837600477,#E64A19,True
13723404,https://www.airbnb.com/rooms/13723404,Sonder | Winthrop Square | Modern 1BR,CorpGroup5,https://www.airbnb.com/users/show/12243051,Sonder,"Boston, Massachusetts, United States",Downtown,2020-08-31,,42.35525,-71.05773,Entire apartment,Entire home/apt,2,1.0,1.0,147.0,30,1125,30.0,t,0,0,0,268,57,974333,t,Sonder,12243051.0,Not found (fabricated),Not found (fabricated),,Owner-Adjacent Unit,21.0,,Not found (fabricated),Not found (fabricated),,0.0,5-1,342.42329351989173,5-1-0,157.2675953221202,#E64A19,True
14744481,https://www.airbnb.com/rooms/14744481,Sonder | Winthrop Square | Simple Studio,CorpGroup5,https://www.airbnb.com/users/show/12243051,Sonder,"Boston, Massachusetts, United States",Downtown,2020-08-31,,42.35392,-71.05908000000002,Entire apartment,Entire home/apt,2,,1.0,130.0,30,1124,30.0,t,0,0,8,283,28,974333,t,Sonder,12243051.0,Not found (fabricated),Not found (fabricated),,Owner-Adjacent Unit,21.0,,Not found (fabricated),Not found (fabricated),,0.0,5-1,490.42404342329246,,,#E64A19,True
15126633,https://www.airbnb.com/rooms/15126633,Sonder | Winthrop Square | Bold 1BR,CorpGroup5,https://www.airbnb.com/users/show/12243051,Sonder,"Boston, Massachusetts, United States",Downtown,2020-08-31,,42.35464,-71.05966,Entire apartment,Entire home/apt,2,1.0,1.0,136.0,30,1124,30.0,t,0,26,56,331,34,974333,t,Sonder,12243051.0,Not found (fabricated),Not found (fabricated),,Owner-Adjacent Unit,21.0,,Not found (fabricated),Not found (fabricated),,0.0,5-1,289.67398491630587,5-1-1,56.242532100009186,#E64A19,True
15127120,https://www.airbnb.com/rooms/15127120,Sonder | Winthrop Square | Sleek Studio,CorpGroup5,https://www.airbnb.com/users/show/12243051,Sonder,"Boston, Massachusetts, United States",Downtown,2020-08-31,,42.35461,-71.05935,Entire apartment,Entire home/apt,2,,1.0,150.0,30,1124,30.0,t,11,41,71,346,69,974333,t,Sonder,12243051.0,Not found (fabricated),Not found (fabricated),,Owner-Adjacent Unit,21.0,,Not found (fabricated),Not found (fabricated),,0.0,5-1,256.8616792736675,5-1-1,103.55620567180634,#E64A19,True
15337363,https://www.airbnb.com/rooms/15337363,Sonder | Winthrop Square | Charming 1BR,CorpGroup5,https://www.airbnb.com/users/show/12243051,Sonder,"Boston, Massachusetts, United States",Downtown,2020-08-31,,42.35444,-71.05966,Entire apartment,Entire home/apt,2,1.0,1.0,164.0,30,1124,30.0,t,0,13,43,206,49,974333,t,Sonder,12243051.0,Not found (fabricated),Not found (fabricated),,Owner-Adjacent Unit,21.0,,Not found (fabricated),Not found (fabricated),,0.0,5-1,349.8416412507067,5-1-1,20.017389089952413,#E64A19,True
15338096,https://www.airbnb.com/rooms/15338096,Sonder | Winthrop Square | Airy Studio,CorpGroup5,https://www.airbnb.com/users/show/12243051,Sonder,"Boston, Massachusetts, United States",Downtown,2020-08-31,,42.35545,-71.05982,Entire apartment,Entire home/apt,2,,1.0,129.0,30,1124,30.0,t,30,60,90,365,29,974333,t,Sonder,12243051.0,Not found (fabricated),Not found (fabricated),,Owner-Adjacent Unit,21.0,,Not found (fabricated),Not found (fabricated),,0.0,5-1,232.6129967299141,,,#E64A19,True
15340831,https://www.airbnb.com/rooms/15340831,Sonder | Winthrop Square | Bright Studio,CorpGroup5,https://www.airbnb.com/users/show/12243051,Sonder,"Boston, Massachusetts, United States",Downtown,2020-08-31,,42.35543,-71.05808,Entire apartment,Entire home/apt,2,,1.0,168.0,30,1124,30.0,t,18,19,25,300,37,974333,t,Sonder,12243051.0,Not found (fabricated),Not found (fabricated),,Owner-Adjacent Unit,21.0,,Not found (fabricated),Not found (fabricated),,0.0,5-1,255.03105182347184,5-1-0,87.72011328216728,#E64A19,True
15341441,https://www.airbnb.com/rooms/15341441,Sonder | Winthrop Square | Vibrant 1BR,CorpGroup5,https://www.airbnb.com/users/show/12243051,Sonder,"Boston, Massachusetts, United States",Downtown,2020-08-31,,42.35593,-71.05864,Entire apartment,Entire home/apt,2,1.0,1.0,178.0,30,1124,30.0,t,1,1,1,274,18,974333,t,Sonder,12243051.0,Not found (fabricated),Not found (fabricated),,Owner-Adjacent Unit,21.0,,Not found (fabricated),Not found (fabricated),,0.0,5-1,261.0636927134777,,,#E64A19,True
15342033,https://www.airbnb.com/rooms/15342033,Sonder | Winthrop Square | Smart Studio,CorpGroup5,https://www.airbnb.com/users/show/12243051,Sonder,"Boston, Massachusetts, United States",Downtown,2020-08-31,,42.35593,-71.05794,Entire apartment,Entire home/apt,2,,1.0,158.0,30,1125,30.0,t,0,30,60,335,58,974333,t,Sonder,12243051.0,Not found (fabricated),Not found (fabricated),,Owner-Adjacent Unit,21.0,,Not found (fabricated),Not found (fabricated),,0.0,5-1,374.75031860688966,5-1-0,102.0670339305178,#E64A19,True
15375825,https://www.airbnb.com/rooms/15375825,Sonder | Winthrop Square | Unique Studio,CorpGroup5,https://www.airbnb.com/users/show/12243051,Sonder,"Boston, Massachusetts, United States",Downtown,2020-08-31,,42.35572,-71.05922,Entire apartment,Entire home/apt,2,,1.0,158.0,30,1124,30.0,t,26,56,86,361,25,974333,t,Sonder,12243051.0,Not found (fabricated),Not found (fabricated),,Owner-Adjacent Unit,21.0,,Not found (fabricated),Not found (fabricated),,0.0,5-1,176.70995223858182,5-1-2,64.3718333769041,#E64A19,True
