id,listing_url,name,host_id,host_url,host,neighbourhood,neighbourhood_cleansed,last_scraped,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,license,instant_bookable,host_alias,alias_id,status,ISD_status,ISD_address,ISD_category,license_listing_count,license_cat_max_exceed,simple_status,full_status,other_hosts,temp_class,cluster,centroid_group_distance,sub_centroid,sub_centroid_distance,color,high_confidence
14472483,https://www.airbnb.com/rooms/14472483,Sonder | Financial District | Stunning 2BR,CorpGroup5,https://www.airbnb.com/users/show/12243051,Sonder,"Boston, Massachusetts, United States",Downtown,2020-09-01,,42.35735,-71.05326,Entire apartment,Entire home/apt,6,2.0,3.0,174.0,30,1124,30.0,t,1,31,61,336,86,Missing,t,Sonder,12243051.0,No license claimed,,,,,,No license claimed,No license claimed,,0.0,5-2,289.65721663699867,,,#FF9800,True
14744525,https://www.airbnb.com/rooms/14744525,Sonder | Financial District | Modern 2BR,CorpGroup5,https://www.airbnb.com/users/show/12243051,Sonder,"Boston, Massachusetts, United States",Downtown,2020-09-01,,42.3581,-71.05490999999998,Entire apartment,Entire home/apt,6,2.0,3.0,174.0,30,1124,30.0,t,2,32,62,337,52,Missing,t,Sonder,12243051.0,No license claimed,,,,,,No license claimed,No license claimed,,0.0,5-2,271.5588991367447,,,#FF9800,True
14897997,https://www.airbnb.com/rooms/14897997,Sonder | Financial District | Chic 2BR,CorpGroup5,https://www.airbnb.com/users/show/12243051,Sonder,"Boston, Massachusetts, United States",Downtown,2020-09-01,,42.35859,-71.05514000000002,Entire apartment,Entire home/apt,6,2.0,3.0,250.0,30,1124,30.0,t,19,19,47,322,56,Missing,t,Sonder,12243051.0,No license claimed,,,,,,No license claimed,No license claimed,,0.0,5-2,398.55714730582514,,,#FF9800,True
38958028,https://www.airbnb.com/rooms/38958028,Sonder | Financial District | Warm 2BR + Sofa Bed,CorpGroup5,https://www.airbnb.com/users/show/224829568,Sonder,"Boston, Massachusetts, United States",Downtown,2020-09-01,,42.35722,-71.05375,Entire apartment,Entire home/apt,6,2.0,3.0,250.0,30,1125,30.0,t,18,48,78,353,0,Missing,t,Sonder (Boston),224829568.0,No license claimed,,,,,,No license claimed,No license claimed,,0.0,5-2,279.5221153193465,,,#FF9800,True
38958123,https://www.airbnb.com/rooms/38958123,Sonder | Financial District | Bright 1BR,CorpGroup5,https://www.airbnb.com/users/show/224829568,Sonder,"Boston, Massachusetts, United States",Downtown,2020-09-01,,42.35887,-71.05320999999998,Entire apartment,Entire home/apt,2,1.0,1.0,157.0,30,1125,30.0,t,30,60,90,365,0,Missing,t,Sonder (Boston),224829568.0,No license claimed,,,,,,No license claimed,No license claimed,,0.0,5-2,377.799884000034,,,#FF9800,True
38958155,https://www.airbnb.com/rooms/38958155,Sonder | Financial District | Grand 2BR + Sofa Bed,CorpGroup5,https://www.airbnb.com/users/show/224829568,Sonder,"Boston, Massachusetts, United States",Downtown,2020-09-01,,42.35882,-71.05385,Entire apartment,Entire home/apt,6,2.0,3.0,176.0,30,1125,30.0,t,0,0,0,269,0,Missing,t,Sonder (Boston),224829568.0,No license claimed,,,,,,No license claimed,No license claimed,,0.0,5-2,307.9095225142367,,,#FF9800,True
38958340,https://www.airbnb.com/rooms/38958340,Sonder | Financial District | Divine 2BR,CorpGroup5,https://www.airbnb.com/users/show/224829568,Sonder,"Boston, Massachusetts, United States",Downtown,2020-09-01,,42.35822,-71.05438000000002,Entire apartment,Entire home/apt,6,2.0,3.0,176.0,30,1125,30.0,t,0,0,9,284,0,Missing,t,Sonder (Boston),224829568.0,No license claimed,,,,,,No license claimed,No license claimed,,0.0,5-2,152.90194180949996,,,#FF9800,True
38958496,https://www.airbnb.com/rooms/38958496,Sonder | Financial District | Iconic 2BR,CorpGroup5,https://www.airbnb.com/users/show/224829568,Sonder,"Boston, Massachusetts, United States",Downtown,2020-09-01,,42.35694,-71.05363,Entire apartment,Entire home/apt,6,2.0,3.0,248.0,30,1125,30.0,t,0,0,0,244,0,Missing,t,Sonder (Boston),224829568.0,No license claimed,,,,,,No license claimed,No license claimed,,0.0,5-2,385.79935069491495,,,#FF9800,True
40031197,https://www.airbnb.com/rooms/40031197,Sonder | Financial District | Airy 1BR + Sofa Bed,CorpGroup5,https://www.airbnb.com/users/show/224829568,Sonder,"Boston, Massachusetts, United States",Downtown,2020-09-01,,42.35803,-71.05471999999997,Entire apartment,Entire home/apt,4,1.0,2.0,142.0,30,1125,30.0,t,11,29,59,334,0,Missing,t,Sonder (Boston),224829568.0,No license claimed,,,,,,No license claimed,No license claimed,,0.0,5-2,217.32906512182225,,,#FF9800,True
40088651,https://www.airbnb.com/rooms/40088651,Sonder | Financial District | Sun-Filled 2BR,CorpGroup5,https://www.airbnb.com/users/show/224829568,Sonder,"Boston, Massachusetts, United States",Downtown,2020-09-01,,42.35691,-71.05298,Entire apartment,Entire home/apt,6,2.0,3.0,176.0,30,1125,30.0,t,0,30,60,335,0,Missing,t,Sonder (Boston),224829568.0,No license claimed,,,,,,No license claimed,No license claimed,,0.0,5-2,464.27676197724816,,,#FF9800,True
40134575,https://www.airbnb.com/rooms/40134575,Sonder | Financial District | Iconic 1BR,CorpGroup5,https://www.airbnb.com/users/show/224829568,Sonder,"Boston, Massachusetts, United States",Downtown,2020-09-01,,42.3583,-71.05389,Entire apartment,Entire home/apt,4,1.0,2.0,143.0,30,1125,30.0,t,30,60,90,365,0,Missing,t,Sonder (Boston),224829568.0,No license claimed,,,,,,No license claimed,No license claimed,,0.0,5-2,118.09788518978098,,,#FF9800,True
