,id,name,cluster,host_id,host,host_alias,alias_id,listing_url,host_url,minimum_minimum_nights,license,ISD_status,ISD_address,neighborhood_overview,description,last_scraped
1234,37171429,in the Heart of BOSTON Apt 8 Room 1,89-1,289552110,Nikki,,,https://www.airbnb.com/rooms/37171429,https://www.airbnb.com/users/show/289552110,2.0,Exemption: executive suite,?,,"The neighborhood is close and convenient to most local interest,  Museum of Fine Arts, Boston University, Children's Hospital, MIT, Harvard, Fenway Park, etc.  Most destinations are accessible via short walks, Uber, Lyft,  subway or cab.","This is a 4 bedroom apartment. You are reserving Room #1. The space is very roomy with a modern approach in design and character. Situated on 2 levels, each with 2 bedrooms, a shared bathroom, and a living room.<br /><br /><b>The space</b><br />Newer constructed townhouse style unit.  It has off-street parking in the rear off the building.  However, parking is on a first-come-first-served basis.   The unit has modern amenities. It has two large common area living rooms, 4 bedrooms, 2 bathrooms, and a kitchen. The upstairs living room has a tv with access to Netflix. You will enjoy a private room with access to in-unit laundry.  Nice roomy bedrooms with new comfy mattresses and bed linens. Be prepared for a great stay with 5-star service.  We are here to ensure your experience is a great one. Let us know how we may help.<br /><br /><b>License number</b><br />Exempt: This listing is a unit used for furnished institutional or business stays",2020-09-01
1242,37413765,City Beauty-comfortable and safe Apt 3 Room 1,89-1,289552110,Nikki,,,https://www.airbnb.com/rooms/37413765,https://www.airbnb.com/users/show/289552110,2.0,Exemption: executive suite,?,,"The neighborhood is safe and friendly. Populated mostly by grad students and professionals. Close by shops, restaurants and bars provide plenty city life atmosphere. Just a few blocks from the T and bus system. There is always Uber and lyft. $12 to $16 will get you to most popular destinations.","You are renting private room #1. Newly constructed townhouse.  It has off-street parking in the rear of the building. However, parking is on a 1st come basis.  The unit has modern amenities. It has two large common area living rooms, 4 bedrooms, 2 bathrooms, and a kitchen. You will enjoy a private room with access to in-unit laundry.  Nice roomy bedrooms with new comfy mattresses and bed linens. Be prepared for a great stay.  We are here to ensure your experience is a great one.<br /><br /><b>The space</b><br />Guests will have exclusive use of a private bedroom, access to common area kitchen, 2 bathrooms and 2 separate living rooms.<br /><br /><br />Newer constructed townhouse style unit.  It has off-street parking in the rear of the building.  However, parking is on a first-come-first-served basis.   The unit has modern amenities. It has two large common area living rooms, 4 bedrooms, 2 bathrooms, and a kitchen. The upstairs living room has a tv with access to Netflix. You will enjoy",2020-09-01
1245,37568228,in the Heart of BOSTON Apt 8 Room 3,89-1,289552110,Nikki,,,https://www.airbnb.com/rooms/37568228,https://www.airbnb.com/users/show/289552110,2.0,Exemption: executive suite,?,,,"This is a 4 bedroom apartment. You are reserving Room #3. The space is very roomy with a modern approach in design and character. Situated on 2 levels, each with 2 bedrooms, a shared bathroom, and a living room.<br /><br /><b>The space</b><br />Newer constructed townhouse style unit.  It has off-street parking in the rear of the building. However, parking is on a first-come-first-served basis.   The unit has modern amenities. It has two large common area living rooms, 4 bedrooms, 2 bathrooms, and a kitchen. The upstairs living room has a tv with access to Netflix. You will enjoy a private room with access to in-unit laundry.  Nice roomy bedrooms with new comfy mattresses and bed linens. Be prepared for a great stay with 5-star service.  We are here to ensure your experience is a great one. Let us know how we may help.<br /><br /><b>License number</b><br />Exempt: This listing is a unit used for furnished institutional or business stays",2020-09-01
1247,37570017,City Beauty-convenient and safe Apt 3 Room 4,89-1,289552110,Nikki,,,https://www.airbnb.com/rooms/37570017,https://www.airbnb.com/users/show/289552110,2.0,Exemption: executive suite,?,,,"You are renting private room #4. Newly constructed townhouse.  It has off-street parking in the rear of the building.  However, parking is on a 1st-come-1st-served basis.  The unit has modern amenities. It has two large common area living rooms, 4 bedrooms, 2 bathrooms, and a kitchen. You will enjoy a private room with access to in-unit laundry.  Comfortable bedroom with new memory foam mattresse and bed linens. Be prepared for a great stay.  We are here to ensure your experience is a great one.<br /><br /><b>License number</b><br />Exempt: This listing is a unit used for furnished institutional or business stays",2020-09-01
