id,listing_url,name,host_id,host_url,host,neighbourhood,neighbourhood_cleansed,last_scraped,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,license,instant_bookable,host_alias,alias_id,status,ISD_status,ISD_address,ISD_category,license_listing_count,license_cat_max_exceed,simple_status,full_status,other_hosts,temp_class,cluster,centroid_group_distance,sub_centroid,sub_centroid_distance,color,high_confidence
34276092,https://www.airbnb.com/rooms/34276092,65 Beech Glen | Flexible Housing | Co-Living | A,CorpGroup4,https://www.airbnb.com/users/show/814298,STR Boston,"Boston, Massachusetts, United States",Roxbury,2020-09-01,,42.32347,-71.09376999999998,Private room in house,Private room,1,1.0,1.0,49.0,30,1125,30.0,t,0,0,0,154,0,Missing,f,Thatch,814298.0,No license claimed,,,,,,No license claimed,No license claimed,,6.0,3-11,5.4087821448885025,,,#FF9800,
35004296,https://www.airbnb.com/rooms/35004296,65 Beech Glen | Unit 1B | Private BR | Co-Living,CorpGroup4,https://www.airbnb.com/users/show/814298,STR Boston,"Boston, Massachusetts, United States",Roxbury,2020-09-01,,42.32418,-71.09397,Private room in apartment,Private room,1,1.0,1.0,49.0,28,1125,28.0,t,0,0,0,275,0,Missing,f,Thatch,814298.0,No license claimed,,,,,,No license claimed,No license claimed,,6.0,3-11,265.5005034316884,,,#FF9800,
42432751,https://www.airbnb.com/rooms/42432751,Brand New | Modern Studio (Parking Available),CorpGroup4,https://www.airbnb.com/users/show/814298,STR Boston,"Boston, Massachusetts, United States",Roxbury,2020-08-31,,42.32276,-71.09351,Entire apartment,Entire home/apt,2,,1.0,105.0,60,1125,60.0,t,0,0,0,27,0,Missing,f,Thatch,814298.0,No license claimed,,,,,,No license claimed,No license claimed,,6.0,3-11,266.76478610499566,,,#FF9800,
