id,listing_url,name,host_id,host_url,host,neighbourhood,neighbourhood_cleansed,last_scraped,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,license,instant_bookable,host_alias,alias_id,status,ISD_status,ISD_address,ISD_category,license_listing_count,license_cat_max_exceed,simple_status,full_status,other_hosts,temp_class,cluster,centroid_group_distance,sub_centroid,sub_centroid_distance,color,high_confidence
19436968,https://www.airbnb.com/rooms/19436968,Sonder | The Conrad | Natural 4BR,CorpGroup5,https://www.airbnb.com/users/show/12243051,Sonder,"Boston, Massachusetts, United States",Downtown,2020-08-31,,42.35578,-71.06090999999998,Entire apartment,Entire home/apt,8,4.0,4.0,355.0,30,1124,30.0,t,0,0,0,0,59,988180,t,Sonder,12243051.0,Not found (fabricated),Not found (fabricated),,Home Share Unit,19.0,,Not found (fabricated),Not found (fabricated),,0.0,5-3,158.17472435059014,5-3-0,35.93020614866168,#E64A19,True
19448926,https://www.airbnb.com/rooms/19448926,Sonder | The Conrad | Peaceful 3BR,CorpGroup5,https://www.airbnb.com/users/show/12243051,Sonder,"Boston, Massachusetts, United States",Downtown,2020-08-31,,42.35578,-71.06232,Entire apartment,Entire home/apt,6,3.0,3.0,321.14,30,1124,30.0,t,0,0,0,0,59,988180,t,Sonder,12243051.0,Not found (fabricated),Not found (fabricated),,Home Share Unit,19.0,,Not found (fabricated),Not found (fabricated),,0.0,5-3,319.47688686678936,5-3-1,71.97609739186595,#E64A19,True
19469130,https://www.airbnb.com/rooms/19469130,Sonder | The Conrad | Calming 3BR,CorpGroup5,https://www.airbnb.com/users/show/12243051,Sonder,"Boston, Massachusetts, United States",Downtown,2020-08-31,,42.35718,-71.06109000000002,Entire apartment,Entire home/apt,6,3.0,3.0,320.0,30,1124,30.0,t,0,0,0,0,32,988180,t,Sonder,12243051.0,Not found (fabricated),Not found (fabricated),,Home Share Unit,19.0,,Not found (fabricated),Not found (fabricated),,0.0,5-3,381.9694843515144,,,#E64A19,True
19469134,https://www.airbnb.com/rooms/19469134,Sonder | The Conrad | Relaxed 2BR,CorpGroup5,https://www.airbnb.com/users/show/12243051,Sonder,"Boston, Massachusetts, United States",Downtown,2020-08-31,,42.35585,-71.06257,Entire apartment,Entire home/apt,5,2.0,3.0,226.0,30,1124,30.0,t,0,0,0,0,47,988180,t,Sonder,12243051.0,Not found (fabricated),Not found (fabricated),,Home Share Unit,19.0,,Not found (fabricated),Not found (fabricated),,0.0,5-3,374.22304000263017,5-3-1,111.3027538025831,#E64A19,True
19527633,https://www.airbnb.com/rooms/19527633,Sonder | The Conrad | Stunning 3BR,CorpGroup5,https://www.airbnb.com/users/show/12243051,Sonder,"Boston, Massachusetts, United States",Downtown,2020-08-31,,42.35576,-71.06197,Entire apartment,Entire home/apt,6,3.0,3.0,325.0,30,1124,30.0,t,0,0,0,0,63,988180,t,Sonder,12243051.0,Not found (fabricated),Not found (fabricated),,Home Share Unit,19.0,,Not found (fabricated),Not found (fabricated),,0.0,5-3,240.3933888757717,5-3-1,88.97314092644581,#E64A19,True
19544387,https://www.airbnb.com/rooms/19544387,Sonder | The Conrad | Charming 2BR,CorpGroup5,https://www.airbnb.com/users/show/12243051,Sonder,"Boston, Massachusetts, United States",Downtown,2020-08-31,,42.35695,-71.06065,Entire apartment,Entire home/apt,4,2.0,2.0,233.0,30,1124,30.0,t,0,0,0,0,37,988180,t,Sonder,12243051.0,Not found (fabricated),Not found (fabricated),,Home Share Unit,19.0,,Not found (fabricated),Not found (fabricated),,0.0,5-3,336.32722109187137,,,#E64A19,True
19552273,https://www.airbnb.com/rooms/19552273,Sonder | The Conrad | Architectural 4BR,CorpGroup5,https://www.airbnb.com/users/show/12243051,Sonder,"Boston, Massachusetts, United States",Downtown,2020-08-31,,42.35682,-71.0604,Entire apartment,Entire home/apt,8,4.0,4.0,360.0,30,1124,30.0,t,0,0,0,0,66,988180,t,Sonder,12243051.0,Not found (fabricated),Not found (fabricated),,Home Share Unit,19.0,,Not found (fabricated),Not found (fabricated),,0.0,5-3,336.8605180059725,,,#E64A19,True
19691987,https://www.airbnb.com/rooms/19691987,Sonder | The Conrad | Charming 3BR,CorpGroup5,https://www.airbnb.com/users/show/12243051,Sonder,"Boston, Massachusetts, United States",Downtown,2020-08-31,,42.35619000000001,-71.06087,Entire apartment,Entire home/apt,6,3.0,3.0,325.0,30,1124,30.0,t,0,0,0,0,43,988180,t,Sonder,12243051.0,Not found (fabricated),Not found (fabricated),,Home Share Unit,19.0,,Not found (fabricated),Not found (fabricated),,0.0,5-3,102.07695960147558,5-3-0,121.4404172023896,#E64A19,True
19694265,https://www.airbnb.com/rooms/19694265,Sonder | The Conrad | Quaint 2BR,CorpGroup5,https://www.airbnb.com/users/show/12243051,Sonder,"Boston, Massachusetts, United States",Downtown,2020-08-31,,42.35599000000001,-71.06092,Entire apartment,Entire home/apt,4,2.0,2.0,199.0,30,1124,30.0,t,0,0,0,0,23,988180,t,Sonder,12243051.0,Not found (fabricated),Not found (fabricated),,Home Share Unit,19.0,,Not found (fabricated),Not found (fabricated),,0.0,5-3,102.15600081889356,5-3-0,47.57266790226594,#E64A19,True
19694483,https://www.airbnb.com/rooms/19694483,Sonder | The Conrad | Lovely 2BR,CorpGroup5,https://www.airbnb.com/users/show/12243051,Sonder,"Boston, Massachusetts, United States",Downtown,2020-08-31,,42.35597,-71.06132,Entire apartment,Entire home/apt,4,2.0,2.0,226.0,30,1124,30.0,t,0,0,0,0,24,988180,t,Sonder,12243051.0,Not found (fabricated),Not found (fabricated),,Home Share Unit,19.0,,Not found (fabricated),Not found (fabricated),,0.0,5-3,64.80134211264676,5-3-0,100.66149364527551,#E64A19,True
19695858,https://www.airbnb.com/rooms/19695858,Sonder | The Conrad | Stunning 2BR,CorpGroup5,https://www.airbnb.com/users/show/12243051,Sonder,"Boston, Massachusetts, United States",Downtown,2020-08-31,,42.35629,-71.06113,Entire apartment,Entire home/apt,4,2.0,2.0,198.0,30,1124,30.0,t,0,0,0,0,26,988180,t,Sonder,12243051.0,Not found (fabricated),Not found (fabricated),,Home Share Unit,19.0,,Not found (fabricated),Not found (fabricated),,0.0,5-3,63.038299431443384,5-3-0,160.10013658262056,#E64A19,True
