id,name,cluster,host_id,host,host_alias,alias_id,listing_url,host_url,minimum_minimum_nights,license,ISD_status,ISD_address,neighborhood_overview,description,last_scraped
30104396,Copley House - Standard King,16-1,85130,Copley,,,https://www.airbnb.com/rooms/30104396,https://www.airbnb.com/users/show/85130,1.0,STRLH/STRBB,,,"Back Bay is one of Boston's finest neighborhoods. It is close to tourist attractions, shopping and dining. It offers easy access to most other parts of the city either by subway or on foot.","Copley House is comprised of apartments spread across multiple townhouses in Boston's Back Bay neighborhood. The King Studio can sleep up to 2 guests. Sleeping accommodations include 1 king bed.<br /><br /><b>The space</b><br />Perfect for a romantic getaway, our King Studio provides all the amenities you need to enjoy a relaxing stay in Boston. This studio room features amenities like a full kitchen, a plush, king-sized mattress, flat screen TV, and a private bathroom equipped with complimentary toiletries.<br /><br /><b>Guest access</b><br />There are no parts of the apartment that are shared with other guests.<br /><br /><b>Other things to note</b><br />ID and credit card for incidentals are required for check in.<br /><br /><b>License number</b><br />Exempt: This listing is a hotel or motel",2020-08-31
35915047,Copley House - 1 Bedroom Suite,16-1,85130,Copley,,,https://www.airbnb.com/rooms/35915047,https://www.airbnb.com/users/show/85130,1.0,STRLH/STRBB,,,"Back Bay is one of Boston's finest neighborhoods. It is close to tourist attractions, shopping and dining. It offers easy access to most other parts of the city either by subway or on foot.",Copley House is comprised of apartments spread across multiple townhouses in Boston's Back Bay neighborhood. The 1-bedroom suite is our largest unit and can sleep up to 4 guests. Sleeping accommodations include 1 queen bed and 1 double sleeper sofa.<br /><br /><b>The space</b><br />The 1-bedroom suite is our largest unit and can sleep up to 4 guests. Sleeping accommodations include 1 queen bed and 1 double sleeper sofa.<br /><br /><b>Guest access</b><br />There are no parts of the apartment that are shared with other guests.<br /><br /><b>Other things to note</b><br />ID and credit card for incidentals are required for check in.<br /><br /><b>License number</b><br />Exempt: This listing is a hotel or motel,2020-08-31
35916196,Budget Studio in Back Bay,16-1,85130,Copley,,,https://www.airbnb.com/rooms/35916196,https://www.airbnb.com/users/show/85130,1.0,STRLH/STRBB,,,"Back Bay is one of Boston's finest neighborhoods. It is close to tourist attractions, shopping and dining. It offers easy access to most other parts of the city either by subway or on foot.","Copley House is comprised of apartments spread across multiple townhouses in Boston's Back Bay neighborhood. The Budget Studio can sleep up to 2 guests. Sleeping accommodations include 1 queen bed. Please note that these pictures will be a representation of our budget rooms, as all our rooms are unique.<br /><br /><b>The space</b><br />Perfect for our budget-conscious travelers, this room offers everything you need throughout your stay. Enjoy a plush queen-sized bed, a full kitchen, and a private bathroom, all located in the heart of the Back Bay and close to all of Boston’s top attractions.<br /><br /><b>Guest access</b><br />There are no parts of the apartment that are shared with other guests.<br /><br /><b>Other things to note</b><br />ID and credit card for incidentals are required for check in.<br /><br /><b>License number</b><br />Exempt: This listing is a hotel or motel",2020-08-31
