id,listing_url,name,host_id,host_url,host,neighbourhood,neighbourhood_cleansed,last_scraped,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,license,instant_bookable,host_alias,alias_id,status,ISD_status,ISD_address,ISD_category,license_listing_count,license_cat_max_exceed,simple_status,full_status,other_hosts,temp_class,cluster,centroid_group_distance,sub_centroid,sub_centroid_distance,color,high_confidence
21454153,https://www.airbnb.com/rooms/21454153,Minion? *Family*Tourist/Convention/Subway 130-1,CorpGroup37,https://www.airbnb.com/users/show/26704689,Mac,"Boston, Massachusetts, United States",South Boston,2020-09-01,,42.33476,-71.05313000000002,Entire apartment,Entire home/apt,11,4.0,8.0,486.0,91,1125,91.0,t,30,60,90,364,43,Missing,f,Mac,26704689.0,No license claimed,,,,,,No license claimed,No license claimed,,1.0,38-2,115.37965507060608,,,#FF9800,
38148436,https://www.airbnb.com/rooms/38148436,Private bedroom in South Boston nr Downtown 130-1A,CorpGroup37,https://www.airbnb.com/users/show/26704689,Mac,"Boston, Massachusetts, United States",South Boston,2020-09-01,,42.33411,-71.05343,Private room in apartment,Private room,1,1.0,1.0,30.0,91,1125,91.0,t,30,60,90,365,1,Missing,f,Mac,26704689.0,No license claimed,,,,,,No license claimed,No license claimed,,1.0,38-2,136.67693948149127,,,#FF9800,
38164617,https://www.airbnb.com/rooms/38164617,Private bedroom in South Boston nr Downtown 130-1C,CorpGroup37,https://www.airbnb.com/users/show/26704689,Mac,"Boston, Massachusetts, United States",South Boston,2020-09-01,,42.33448,-71.05309,Private room in apartment,Private room,1,1.0,1.0,39.0,91,1125,91.0,t,16,46,76,351,1,Missing,f,Mac,26704689.0,No license claimed,,,,,,No license claimed,No license claimed,,1.0,38-2,35.95233578389737,,,#FF9800,
