id,listing_url,name,host_id,host_url,host,neighbourhood,neighbourhood_cleansed,last_scraped,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,license,instant_bookable,host_alias,alias_id,status,ISD_status,ISD_address,ISD_category,license_listing_count,license_cat_max_exceed,simple_status,full_status,other_hosts,temp_class,cluster,centroid_group_distance,sub_centroid,sub_centroid_distance,color,high_confidence
2000797,https://www.airbnb.com/rooms/2000797,"Sea view,balcony,15min by metro to center,safe st",9898255,https://www.airbnb.com/users/show/9898255,Jessica,"Boston, Massachusetts, United States",Dorchester,2020-09-01,,42.31502,-71.06115,Private room in house,Private room,2,1.0,1.0,70.0,91,1125,91.0,t,30,60,90,365,143,404467,t,,,Expired/Void/Revoked,Expired,,Limited Share Unit,5.0,listing,Expired/Void/Revoked,Expired,,0.0,102-1,205.01989785268856,,,#FF5722,
3294152,https://www.airbnb.com/rooms/3294152,"Garden Suite near subway, beach",9898255,https://www.airbnb.com/users/show/9898255,Jessica,"Boston, Massachusetts, United States",Dorchester,2020-09-01,,42.31503,-71.06214,Entire guest suite,Entire home/apt,4,1.0,1.0,120.0,91,1125,91.0,t,30,60,90,365,202,404467,t,,,Expired/Void/Revoked,Expired,,Limited Share Unit,5.0,listing,Expired/Void/Revoked,Expired,,0.0,102-1,65.05673458980027,,,#FF5722,
24783227,https://www.airbnb.com/rooms/24783227,"Sunny ocean-view suite nr subway w/kitchen, bathr.",9898255,https://www.airbnb.com/users/show/9898255,Jessica,"Boston, Massachusetts, United States",Dorchester,2020-09-01,,42.31491,-71.06243,Entire guest suite,Entire home/apt,2,1.0,2.0,120.0,91,1125,91.0,t,30,60,90,365,77,404467,t,,,Expired/Void/Revoked,Expired,,Limited Share Unit,5.0,listing,Expired/Void/Revoked,Expired,,0.0,102-1,144.28003824800982,,,#FF5722,
